,scr_grp,Negatives,Positives,resp_rate,lift,cmltv_p_perc,cmltv_n_perc,cmltv_rand_p_perc,cmltv_resp_rate,cmltv_lift,KS
0,1,655148,48120,0.07,5.94,58.1,9.4,10.0,0.07,5.94,48.1
1,2,694279,8988,0.01,0.85,68.9,19.4,20.0,0.04,3.4,48.9
2,3,700401,2866,0.0,0.0,72.4,29.5,30.000000000000004,0.03,2.55,42.4
3,4,700367,2900,0.0,0.0,75.9,39.6,40.0,0.02,1.7,35.9
4,5,700301,2966,0.0,0.0,79.5,49.6,50.0,0.02,1.7,29.5
5,6,700418,2849,0.0,0.0,82.9,59.7,60.0,0.02,1.7,22.9
6,7,700465,2802,0.0,0.0,86.3,69.8,70.0,0.01,0.85,16.3
7,8,700387,2880,0.0,0.0,89.8,79.9,80.0,0.01,0.85,9.8
8,9,700416,2851,0.0,0.0,93.2,90.0,89.99999999999999,0.01,0.85,3.2
9,10,697652,5616,0.01,0.85,100.0,100.0,99.99999999999999,0.01,0.85,0.0
