,scr_grp,Negatives,Positives,resp_rate,lift,cmltv_p_perc,cmltv_n_perc,cmltv_rand_p_perc,cmltv_resp_rate,cmltv_lift,KS
0,1,137723,1158,0.01,7.41,61.8,9.9,10.0,0.01,7.41,51.8
1,2,138791,89,0.0,0.0,66.5,19.9,20.0,0.0,0.0,46.5
2,3,138810,70,0.0,0.0,70.3,29.9,30.000000000000004,0.0,0.0,40.3
3,4,138810,70,0.0,0.0,74.0,40.0,40.0,0.0,0.0,34.0
4,5,138788,93,0.0,0.0,79.0,50.0,50.0,0.0,0.0,29.0
5,6,138803,77,0.0,0.0,83.1,60.0,60.0,0.0,0.0,23.1
6,7,138796,84,0.0,0.0,87.6,70.0,70.0,0.0,0.0,17.6
7,8,138792,88,0.0,0.0,92.3,80.0,80.0,0.0,0.0,12.3
8,9,138801,79,0.0,0.0,96.5,90.0,89.99999999999999,0.0,0.0,6.5
9,10,138815,66,0.0,0.0,100.0,100.0,99.99999999999999,0.0,0.0,0.0
